,label_vault,label_daddy,kint,ksm
9,@spazcoin/chaos DAO/Top Redeemer/Top Issuer/Top 20 Vault/Self Issuer/eCQvW,Daddy of eCQvW/Likely Vault Owner,0.0,142.36
18,Simon Kraus/Top 20 Vault/Self Issuer/nPJjs,Top Redeemer/Top Issuer/Selfish/Daddy of 74zdo/Daddy of nPJjs/Likely Vault Owner,210.0,110.66
1,Top Issuer/Selfish/Top 20 Vault/Self Issuer/74zdo/Daddy of 957PB/Daddy of nPJjs/Likely Vault Owner,Top Redeemer/Top Issuer/Selfish/Daddy of 74zdo/Daddy of nPJjs/Likely Vault Owner,14.9,91.94816
7,Social/Top 20 Vault/Daddy of Poxg8/rEszH/Likely Vault Owner,Social/Top 20 Vault/Poxg8/Daddy of rEszH/Likely Vault Owner,6.8034099999999995,50.3355936
8,@spazcoin/chaos DAO/Top Redeemer/Top Issuer/Top 20 Vault/Self Issuer/eCQvW,Daddy of eCQvW/Likely Vault Owner,0.0,30.0
16,Simon Kraus/Top 20 Vault/Self Issuer/nPJjs,Top Issuer/Selfish/Top 20 Vault/Self Issuer/74zdo/Daddy of 957PB/Daddy of nPJjs/Likely Vault Owner,336.0,24.0
11,Selfish/Top 20 Vault/Self Issuer/957PB,Top Issuer/Selfish/Top 20 Vault/Self Issuer/74zdo/Daddy of 957PB/Daddy of nPJjs/Likely Vault Owner,0.0,11.79
0,Top Issuer/Selfish/Top 20 Vault/Self Issuer/74zdo/Daddy of 957PB/Daddy of nPJjs/Likely Vault Owner,Top Redeemer/Top Issuer/Daddy of 74zdo/Daddy of nPJjs/Likely Vault Owner,0.0,3.11
17,Simon Kraus/Top 20 Vault/Self Issuer/nPJjs,Top Redeemer/Top Issuer/Daddy of 74zdo/Daddy of nPJjs/Likely Vault Owner,0.0,3.11
15,@mafux777/Top Issuer/Selfish/Top 20 Vault/Self Issuer/ntQTS,Top Redeemer/Daddy of ntQTS/Likely Vault Owner,5.5,0.9400000000000001
13,Top Issuer/Social/Top 20 Vault/Self Issuer/ceZ9g,Daddy of ceZ9g/Likely Vault Owner,0.35,0.0
19,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer/LLDD3/Daddy of 9v6eN/Likely Vault Owner,Top Issuer/Selfish/Top 20 Vault/Self Issuer/Daddy of 957PB/Daddy of LLDD3/Likely Vault Owner,10.0,0.0
14,Top Issuer/Social/Top 20 Vault/Self Issuer/ceZ9g,Daddy of ceZ9g/Likely Vault Owner,15.0,0.0
10,Selfish/Top 20 Vault/Self Issuer/957PB,Top Issuer/Selfish/Top 20 Vault/Self Issuer/Daddy of 957PB/Daddy of LLDD3/Likely Vault Owner,10.0,0.0
12,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer/Dqajq,Top Redeemer/Social/Top 20 Vault/Self Issuer/Daddy of TzRzQ/TzRzQ/Daddy of Dqajq/Likely Vault Owner,2.000000000002,0.0
6,Top Redeemer/Social/Top 20 Vault/Self Issuer/Daddy of TzRzQ/TzRzQ/Daddy of Dqajq/Likely Vault Owner,Top Issuer/Daddy of TzRzQ/Likely Vault Owner,11.000000000011,0.0
5,Top Redeemer/Social/Top 20 Vault/Self Issuer/Daddy of TzRzQ/TzRzQ/Daddy of Dqajq/Likely Vault Owner,Top Redeemer/Social/Top 20 Vault/Self Issuer/Daddy of TzRzQ/TzRzQ/Daddy of Dqajq/Likely Vault Owner,1.0,0.0
4,Social/Top 20 Vault/H8Qem,Daddy of H8Qem/Likely Vault Owner,14.0,0.0
3,Social/Top 20 Vault/Poxg8/Daddy of rEszH/Likely Vault Owner,Social/Top 20 Vault/Daddy of Poxg8/rEszH/Likely Vault Owner,0.5,0.0
2,pumpernickel/Social/Top 20 Vault/Self Issuer/hLPpe,Daddy of hLPpe/Likely Vault Owner,0.998,0.0
20,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer/9v6eN,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer/LLDD3/Daddy of 9v6eN/Likely Vault Owner,10.0,0.0
