,from.id,ksm,date
0,GDN8YBtPVRkjR7YtEKMUMXzBdtsNYWW7djdsxcQDqSZSxmM,10000.0,2022-04-25T15:53:42.020Z
1,HExSfZUFJPkbUxpKQ5jM54TA7ThwfsCRBfgowmzzCcH8rV2,3446.75,2022-05-02T15:20:06.029Z
2,CrZxfsquEZeXLZUk7Uxdts8NpKz1oc7pdDXwHYCSeJ8SLgW,2940.17498,2022-04-26T20:29:06.018Z
3,GcohCErDM7LjUfBkmNqu19CNzRUEp84DQP4nZeUhjrBHqNP,847.66346,2022-04-25T17:29:30.016Z
4,Cdcb6dodh71D8rCf3sWsokuXGkaS1YKcA7mgGWbDuSrHSFA,714.0,2022-05-16T14:33:36.024Z
5,Ea9GXVeSWj1vxXutpMPtZAinuACMeWYyVfKHqKrn2gb11kj,670.716,2022-04-26T07:15:42.025Z
6,DMZC2aCdR5SjYTr9duiHFHWHSuqwfFUjHX1Qru9YLSe9H5e,579.79,2022-05-01T20:50:54.012Z
7,GCE5wFsJX3x3MpPrekqnXe2STTye3gdvxvjX5gSXL5YSZ74,484.5,2022-05-20T19:26:54.016Z
8,EcdZSvpYwbhESMviUwYQb9WiZTgnTYrAsRLUf3GmXyzy5dH,478.5,2022-04-25T10:08:12.007Z
9,DPe86fQfixDTfejAiEJbRt2mvbtcGkWdGXsyCFDu37iKYVu,453.5,2022-05-18T11:01:30.020Z
10,HyWvJx6EUsRV7zwtt3m5sfok8Z56cnf2oymLgu9johaLdRh,430.8,2022-05-23T06:35:30.013Z
11,FASj8TKiydc5PjvWYX6riWoDckKw1EJYcuj67DWByAPoiy1,413.13369,2022-05-20T19:30:06.029Z
12,GD9kGbmqL7SB9maZoHPoTji3skMFj9mfVv79gxheHJAe7cy,298.0,2022-05-01T22:10:48.013Z
13,EV52M9PFTuTm1GHpbbpofd4aw9T4gna7Ssfbw4jRkco3NJi,230.96500000000003,2022-05-06T12:47:30.037Z
14,G4HHNvVf1YRA72iuigwtQU8bd41pNqPLmE1iKxP4VYKQAy5,139.18,2022-04-28T14:26:50.501Z
15,EFnKphniQoNq8BnF5FEVa4yt7BdvaYqMMAMkWQydWMGiEh1,116.83335,2022-05-10T09:12:42.019Z
16,E7auMi9fNToJ9hkTDWttd3jFriaYx3FD8ezzmGUaKAQnpzh,116.51437,2022-05-10T05:21:12.016Z
17,Cm6KbCNwkeP43u37mRqtxyYsKwXLTdKYm2dwPKGWRxX4ha9,115.00665000000001,2022-04-26T15:46:18.015Z
18,HHCd33jjDBJJDZic7rbQZMuMaoe5ddYaRkaLf7tDURHpE56,114.35,2022-04-26T12:24:42.031Z
19,Fr9P61k6gEuYK48v9ZMC2cFmxih6BXjvSkuw2833zW2EyMu,85.699,2022-04-29T15:14:30.013Z
20,F4aVDxiW8oYpv1Feai2oLHqdpR1CEHATEFHPvc9KWp5sUMa,84.0,2022-05-02T15:26:00.009Z
21,JKNG5kEBUtBnSVuboVGkW1N132tsnrJ67px4UEGQRw6iQbF,74.0,2022-05-02T15:30:00.029Z
22,HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,73.3,2022-05-02T12:05:24.008Z
23,HhHecxHchW2f84JcGeaGmZm5D5KNeyQVESK9xE2268xWRjR,71.6,2022-05-02T08:31:06.027Z
24,G4VtuLLZ16PGf9P9uDVSu8EdrS8g7hY7TnwnprGrMkbEYre,65.33,2022-04-25T13:12:12.034Z
25,FFRQo9xsJ2MZPZRWqU26MauJg4HEj9Am99FBzRRvgsmxpsA,58.19,2022-04-26T21:19:36.015Z
26,CzZTxaAvBSMW7PKHhfS7qFd3Bgo5Sw8n8tT4kQcGx2hRCe1,55.0,2022-05-02T15:16:30.028Z
27,CgeFPEFqoDKc9Ytjw3yokuLVG1VejKYrtFRRuRQkdSpBkA4,48.41,2022-05-01T08:29:00.019Z
28,Dqu8RLpdUzfrXDawFaJo1rnbatb9k6PskzeJqTHwt6LbJzv,30.009999999999998,2022-05-16T07:49:12.030Z
29,FZQvXpyVrkZG9K5MCgnC6geenAgcbJdn76EEGitLZcctHw4,30.0,2022-05-11T05:17:06.027Z
30,EMRQQJK9jF4tqHs88vHvCtQnAvwQMzg6YhfbvqkRfy85TbZ,21.70507,2022-04-25T18:08:18.012Z
31,DY33sfyDC2bcUq49b4wiCqsiDni4CVpumnNwkTMWKoMiGw1,19.497,2022-05-03T20:58:24.013Z
32,GHUFYTBVReWfgDGvBVKPpjtptaWrhP3mJqqwx1z8M1WW8g4,17.78,2022-04-27T17:55:42.075Z
33,EAm6Y1yoaZtrnCBE9yyryPXTjMuuHd2sPbRC3yc6Nk81rD7,17.7768,2022-04-26T16:05:42.033Z
34,DStiYgfpWCfdnGTfaPaQy46gNxoKTzUuU9jL3iwb981EueJ,15.3,2022-05-12T06:55:30.034Z
35,GRdnqpjfBFMedRq98gBYDajs7kwevrf4JMHgSoafD44AKPc,14.7,2022-05-20T18:00:36.042Z
36,Hezi69CCKh8i71Nf7Hbp3dvEgxPeQ5Y2Abf9jGrrRDLVVr9,13.3291,2022-05-20T18:01:00.019Z
37,D5ELthP7PGmmBFtar2kG5JRnjHJv237CVhsSSszdMMj2BDF,11.3485,2022-04-25T22:43:12.015Z
38,HqpDEsKPS7XZV4WYoYeGoTQJNMtaz6nqyUvB9GXq221JkeD,7.28557,2022-05-03T00:31:24.006Z
39,FkdMvcEeAZCv2V5hgh8ojbkdN6BWLvktTtF1SQD2fGeTX7K,7.0,2022-05-02T10:10:36.023Z
40,FPTYaqsRppQSX6xGpQM8rjmJXY4UNgoJPdih5fMj3B7MtX3,6.99983,2022-04-25T09:42:12.028Z
41,EGP8APFGhQgAVU7gAvTFFeK2L67bojmfnSTqtXggNrXPXM6,4.45,2022-05-14T13:41:36.016Z
42,DwjtSQZvXhnevEnTnWBgoekihEgQJENDpCQQP2MBsqiJ9Uf,4.1,2022-05-06T04:20:36.010Z
43,JGnnC4ypvKwJAStGyG8xBCRDac2sahRHSk9ZSUD452RAyQD,3.5500000000000003,2022-05-06T04:48:24.038Z
44,CaZQS2J36yBouxU2TeExJ1UHuksFrL61eG6kFb75xayKPdF,2.9527,2022-04-26T03:21:24.026Z
45,CbRdPJ3hmHELukq3sFWicjkG9U5fVgQEs45Aa83kiKvUor6,2.5,2022-05-01T14:47:06.018Z
46,EY8oQaFCspHVbj5tyxZDngTkCRJLAHQ3JbfDZXhsoP7FpY2,2.452,2022-05-01T10:13:24.012Z
47,FiTzcUBTdeKF3c9saP9UsQxqsSQwNnz3uoCoBqs8EtH4yDh,2.26038,2022-04-25T16:17:24.010Z
48,Copapiu5S5VCLLwwohGMWKbULoFvpyL5bMBDJU3nrFAvi31,2.2,2022-05-12T04:47:36.019Z
