,amount,dot,from.karura,from.kintsugi,from.kusama,from.moonriver,fromChain,from_id,kbtc,kint,ksm,timestamp,to.karura,to.kintsugi,to.kusama,to.moonriver,toChain,to_id,token,last_seen,label_from_id,label_to_id
0,705415,,qaPZa221VMdRU7R43NqSwhTsdmX7uZN7TSjKgnZV1Swcbpg,a3cVGTmZ35ZgnAVU96HzsUmtEmwPGth6qpi1dnvjRSY357xKa,ErS1cmbhk7GV7gdcr6hBY6uziuknonEyp7wdavkhst1vYyd,0x64c240c47592bcfef2e48b1da1b04d0022e03162,2092,a3cVGTmZ35ZgnAVU96HzsUmtEmwPGth6qpi1dnvjRSY357xKa,0.00705415,,,2022-05-28T09:39:00.329000Z,,,unknown,,2023,0x627683779b1fe41a2b350f67a9e8876def078cbb,KBTC,2022-05-28T09:39:00.329000Z,Top KBTC Mover/Top KBTC Sink,Top KBTC Sink
1,700905,,qaPZa221VMdRU7R43NqSwhTsdmX7uZN7TSjKgnZV1Swcbpg,a3cVGTmZ35ZgnAVU96HzsUmtEmwPGth6qpi1dnvjRSY357xKa,ErS1cmbhk7GV7gdcr6hBY6uziuknonEyp7wdavkhst1vYyd,0x64c240c47592bcfef2e48b1da1b04d0022e03162,2092,a3cVGTmZ35ZgnAVU96HzsUmtEmwPGth6qpi1dnvjRSY357xKa,0.00700905,,,2022-05-28T09:34:36.388000Z,,,unknown,,2023,0x627683779b1fe41a2b350f67a9e8876def078cbb,KBTC,2022-05-28T09:34:36.388000Z,Top KBTC Mover/Top KBTC Sink,Top KBTC Sink
2,40000000000,,qLb7QBErgr4Anni9gDgfzk4bUKT7ZKyJWk8Aku5YfYvf1QR,a3cFU1biFvmBCup9SBvqihpvqVmwCtLsT1mK2dzqwWC94AjJw,EcdZSvpYwbhESMviUwYQb9WiZTgnTYrAsRLUf3GmXyzy5dH,0x5a3bb1add5cc7ff4ad107ac0335f531dc6eb6d5e,2092,a3cFU1biFvmBCup9SBvqihpvqVmwCtLsT1mK2dzqwWC94AjJw,,,0.04,2022-05-28T09:20:48.168000Z,sR3Zm142oSLCG7Rt6Cu86tyYYD3cxmQ3DTyuiXaKeCfP5Ga,a3eKvTxY56smUwHU9vLpw9w5kSqpoPkJskU2tNxUSHAnntQTS,Gh61okdj4ByFugeStvkrhJRfdMHHrzGua9CDcfmYWdjhEWk,0xb61a323db0632f9981a59d6c8b5d5676e41d989d,2092,a3eKvTxY56smUwHU9vLpw9w5kSqpoPkJskU2tNxUSHAnntQTS,KSM,2022-05-28T09:20:48.168000Z,Top Redeemer/Daddy of ntQTS/Likely Vault Owner/K>50/Top KSM Mover,@mafux777/Top Issuer/Selfish/Top 20 Vault/Self Issuer/ntQTS/Top KINT Mover/Top KSM Sink/Top KBTC Mover

3,260000000000,,ra6w3GAQRVGUfUvMLqVTSCoesaTRHJs465hd7yqq84wviDD,a3dUyqEoBUVpRDgqePbTXVGPaZBCDC4rLmLec6Mvhnef5SJPS,Fr9P61k6gEuYK48v9ZMC2cFmxih6BXjvSkuw2833zW2EyMu,0x90c68164d33e35017d4303436b705e60fa485573,2092,a3dUyqEoBUVpRDgqePbTXVGPaZBCDC4rLmLec6Mvhnef5SJPS,,0.26,,2022-05-28T08:40:30.722000Z,,,unknown,,2023,0x26860caaaea40bdf507772b1f386f11cd97bb4b3,KINT,2022-05-28T08:40:30.722000Z,Top Issuer/K>50/Top KSM Mover/Top KSM Sink,Top KINT Sink/Top KBTC Sink
4,57999870099455,,prJd7t13T5G5UgiunNgxg4sCqVv7rS5Krh8zmBprp8QjCRo,a3bmBXKR27XQQpW3Sx2zizWFe797ftdyZ37G3U18gpLiYEi9c,E8M5Adajhpu98FwUb6YhGUKKve9nkexCDNMJfL25gZV3HYx,0x44a9520d61e23ccdd5660fb9f71f0e47f8ee800e,2092,a3bmBXKR27XQQpW3Sx2zizWFe797ftdyZ37G3U18gpLiYEi9c,,57.999870099455,,2022-05-28T08:24:12.286000Z,pqkAMaENhqLR9uRG3s6T93fFuCZv57RHhnh5iB8Nvkfz3jW,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,E7ncQKp4xayUoUdpraxBjT7NzLoayLJA4TuPcKKboBkJ5GH,0x443c0ba8f048601bd709b475301f520071887f9f,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,KINT,2022-05-28T08:24:12.286000Z,Top KINT Mover/Top KINT Sink,shenanigans/Top KINT Mover/Top KINT Sink
5,58000000000000,,sR3Zm142oSLCG7Rt6Cu86tyYYD3cxmQ3DTyuiXaKeCfP5Ga,a3eKvTxY56smUwHU9vLpw9w5kSqpoPkJskU2tNxUSHAnntQTS,Gh61okdj4ByFugeStvkrhJRfdMHHrzGua9CDcfmYWdjhEWk,0xb61a323db0632f9981a59d6c8b5d5676e41d989d,2092,a3eKvTxY56smUwHU9vLpw9w5kSqpoPkJskU2tNxUSHAnntQTS,,58.0,,2022-05-28T08:18:36.307000Z,prJd7t13T5G5UgiunNgxg4sCqVv7rS5Krh8zmBprp8QjCRo,a3bmBXKR27XQQpW3Sx2zizWFe797ftdyZ37G3U18gpLiYEi9c,E8M5Adajhpu98FwUb6YhGUKKve9nkexCDNMJfL25gZV3HYx,0x44a9520d61e23ccdd5660fb9f71f0e47f8ee800e,2092,a3bmBXKR27XQQpW3Sx2zizWFe797ftdyZ37G3U18gpLiYEi9c,KINT,2022-05-28T08:18:36.307000Z,@mafux777/Top Issuer/Selfish/Top 20 Vault/Self Issuer/ntQTS/Top KINT Mover/Top KSM Sink/Top KBTC Mover,Top KINT Mover/Top KINT Sink
6,1376226,,tb85HM8MC2BrdguApZxySnprzsNzWQrCikwLPkmE5BSQ5uu,a3fVzyUt9RGMLbf3dD5C11GybmJV8mHxKuyKqodhdBbmZuUrY,HsAXL6i3SmpvHG7jdHpi3CGz61cfQdj55S9eHtxSwcWiFXv,0xea060ffde0524031789bcda6fbf1198b047ed678,2092,a3fVzyUt9RGMLbf3dD5C11GybmJV8mHxKuyKqodhdBbmZuUrY,0.01376226,,,2022-05-28T07:41:54.391000Z,,,unknown,,2023,0x356eb354aea711854e1d69a36643e181a1da8ba5,KBTC,2022-05-28T07:41:54.391000Z,Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,Top KINT Sink/Top KBTC Sink
7,129479546632787,,pPfe4Pto7KhPm2AxHDbH1TBju24DogBWgfUBYRzumGrWdqf,a3bJYYFvusBer8nNtzXqdJqdxeCdozbDfDwENenNrsHrz2B2b,Dfi679UVN5LTQbPX5wT1brdrzAHthu4P3LgVSaC8dhvprk8,0x30587103132ea84ad57884d674f92354fa8dfc54,2092,a3bJYYFvusBer8nNtzXqdJqdxeCdozbDfDwENenNrsHrz2B2b,,129.479546632787,,2022-05-28T06:55:06.334000Z,,,unknown,,2023,0x4d5eae22afd5ca3e7b493889287ab09ce49c3634,KINT,2022-05-28T06:55:06.334000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
8,129479677000000,,obmvFLKbtkyBSoSY4agQx1xCxVGts6yVS6QiwPrxevNxE7f,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,CspNJ5uJ9WcF6Nf6sJY9YRQL3dWZmKrMnmd2qY4BXMTGEgi,0x0d584a4cbbfd9a4878d816512894e65918e54fae,2092,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,,129.479677,,2022-05-28T06:46:06.495000Z,pPfe4Pto7KhPm2AxHDbH1TBju24DogBWgfUBYRzumGrWdqf,a3bJYYFvusBer8nNtzXqdJqdxeCdozbDfDwENenNrsHrz2B2b,Dfi679UVN5LTQbPX5wT1brdrzAHthu4P3LgVSaC8dhvprk8,0x30587103132ea84ad57884d674f92354fa8dfc54,2092,a3bJYYFvusBer8nNtzXqdJqdxeCdozbDfDwENenNrsHrz2B2b,KINT,2022-05-28T06:46:06.495000Z,shenanigans/Top KINT Mover/Top KINT Sink/KINT System?,Top KINT Mover/Top KINT Sink
