,vault,btc_self,btc_other,btc,social,selfish,label_vault.accountId,share,label_vault
0,a3drCagyKmK1GQnu4MgDXmbKJxrNPURq6xXdL3JR4xVbceZ9g,0.89865,12.21078732,13.10943732,True,False,Top Issuer/Social,46.3%,Top Issuer/Social/Top 20 Vault/Self Issuer
1,a3esntpLud7yGGrkKnqyueJqmwKwE3ZBoG5ZNyHafirmLLDD3,4.36579322,0.11406764,4.47986086,False,True,Top Redeemer/Top Issuer/Selfish,15.8%,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer
2,a3aGT3FRF1WgWtWdi8VmhB3YEJVE6XtrvT41TqcKFxZbuUvS1,0.0,1.25788911,1.25788911,True,False,@warinelly/Social,4.4%,@warinelly/Social/Top 20 Vault
3,a3dqzCRPDD9gwrXZ63FBa6hX2q6DsMcUNWPooK2mNNwTDqajq,0.7445582100000001,0.18302954000000002,0.9275877499999998,False,True,Top Redeemer/Top Issuer/Selfish,3.3%,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer
4,a3bkRMWVb3C3JyXVFvfR5Brq435C6eqMr42YhA759JyKTzRzQ,-1.73818591,2.61026689,0.87208098,True,False,Top Redeemer/Social,3.1%,Top Redeemer/Social/Top 20 Vault/Self Issuer
5,a3eFe9M2HbAgrQrShEDH2CEvXACtzLhSf4JGkwuT9SQ1EV4ti,0.0,0.62539793,0.62539793,True,False,@paride/Social,2.2%,@paride/Social/Top 20 Vault
6,a3fxCiEXfZJThTpHR5FPT3jngnFWQygAtw1ieDp2w9669v6eN,1.1526459,-0.54602344,0.6066224600000001,False,True,Top Redeemer/Top Issuer/Selfish,2.1%,Top Redeemer/Top Issuer/Selfish/Top 20 Vault/Self Issuer
7,a3bihCTc88uby4Xm5D8JbTWszYGhvt34BDKrAamPVikRH8Qem,0.0,0.5544259899999999,0.5544259899999999,True,False,Social,2.0%,Social/Top 20 Vault
8,a3azPeBMe1EexQvFMd5otaV4q4fPN3Ya5aBQhaChpGzbhLPpe,-0.06999055,0.58304347,0.51305292,True,False,pumpernickel/Social,1.8%,pumpernickel/Social/Top 20 Vault/Self Issuer
9,a3eKvTxY56smUwHU9vLpw9w5kSqpoPkJskU2tNxUSHAnntQTS,0.5566138199999999,-0.057433069999999996,0.49918075,False,True,@mafux777/Top Issuer/Selfish,1.8%,@mafux777/Top Issuer/Selfish/Top 20 Vault/Self Issuer
10,a3fcMNTjXcJSwAVnTNKwwP7T8XM2bCW7FshsTW2hpUTrdXzed,0.45340021,0.0,0.45340021,False,True,@spazcoin/chaos DAO/Top Issuer/Selfish,1.6%,@spazcoin/chaos DAO/Top Issuer/Selfish/Top 20 Vault/Self Issuer
11,a3coHBHEm6oD7kmXRyzRH9xJ7zqDr2tYuPWoRFT2AvdKT15Ki,0.0,0.43110061,0.43110061,True,False,Social,1.5%,Social/Top 20 Vault
12,a3dq4Y63JgLdTijbuL6f25mRMDfwVjw1EmrpRgRV7FzEbdxDB,0.0,0.42112801,0.42112801,True,False,Social,1.5%,Social/Top 20 Vault
13,a3c7uUVvpdHUySP3oJ3W16uQPN9cyAa7AxLmMmGsQAQmrEszH,0.0,0.41784821,0.41784821,True,False,Social,1.5%,Social/Top 20 Vault
14,a3cCyigH5pLJXcLKRNGFaBnx3a7diTXq9pPZ1TB8XWgqeCQvW,0.07030130999999998,0.27270281,0.34300411999999997,False,False,@spazcoin/chaos DAO/Top Redeemer/Top Issuer,1.2%,@spazcoin/chaos DAO/Top Redeemer/Top Issuer/Top 20 Vault/Self Issuer
15,a3eZhSC12zE4D49ir4QkxZwDC3jU6iwNQ953ZZzQsCLTnPJjs,0.18636004,0.07544679999999997,0.26180683999999993,False,False,Simon Kraus,0.9%,Simon Kraus/Top 20 Vault/Self Issuer
16,a3addPTx9ngWGKq3dguw7vs7NA2PimcDUHWJ32HsuoFL74zdo,0.23215125,0.004916340000000001,0.23706759,False,True,Top Issuer/Selfish,0.8%,Top Issuer/Selfish/Top 20 Vault/Self Issuer
17,a3b3EwCtmURY7K3d6aoWzouHriGfTsvCP2axuMVGpRpkPoxg8,0.0,0.22793738999999996,0.22793738999999996,True,False,Social,0.8%,Social/Top 20 Vault
18,a3adPv7McJ11sBVApm9ZcR52wpQAKBLFjd2n9E6DH1cBkccMg,0.18400737,0.04176425,0.22577162,False,True,Top Issuer/Selfish,0.8%,Top Issuer/Selfish/Top 20 Vault/Self Issuer
19,a3chQwNk9sxP4WHnm82cD6a5AR2tXJ7bmJ88yZGQp4Ay957PB,0.16686021,0.03486652,0.20172673000000002,False,True,Selfish,0.7%,Selfish/Top 20 Vault/Self Issuer
20,a3btcmyVE6ENtWVyHiX9QnorJfKfA2TsSCF43urDeNAWKueH6,0.19515417,0.00141412,0.19656829,False,True,@seergeist/Top Issuer/Selfish,0.7%,@seergeist/Top Issuer/Selfish/Self Issuer
21,a3fRJZLKJEsNY2fcDDLtzh7MWAE5DbVykyEfBbKdPbJSGLQjh,-0.01675899,0.20857695,0.19181796,True,False,Social,0.7%,Social/Self Issuer
22,a3dCFNgcQsgL4wX6apeaxVLTyRzeCiUdEczyvPcXZ5Dmg5rez,0.18409381,0.006411449999999999,0.19050525999999998,False,True,Top Issuer/Selfish,0.7%,Top Issuer/Selfish/Self Issuer
23,a3dh7jXhw2q7vqUpEPAb8BeFTNqXXvG9zBf7hsfm3o9hNbjtK,0.0029288300000000073,0.15608565,0.15901447999999996,True,False,@whisperit/Top Redeemer/Top Issuer/Social,0.6%,@whisperit/Top Redeemer/Top Issuer/Social/Self Issuer
24,a3aPvmjypKaDtjRgYbDL2CCkseYR3SLwvPevL6j7wF67aFtV4,0.18755458,-0.05375108000000001,0.1338035,False,True,@timbotronic/Selfish,0.5%,@timbotronic/Selfish/Self Issuer
25,a3cS7bP56bj11Yrfxt3TZFGjo96R7eJH6WUNYBxg1dx55jCJm,0.0948575,0.02086166,0.11571916,False,True,Selfish,0.4%,Selfish/Self Issuer
